participant_id,age,gender,condition,light_lux,noise_db,n_back_level,trial_number,reaction_time_ms,correct
P01,19,Female,Light,1351.7,45.5,1,13,1086.2,0
P01,19,Female,Light,953.7,35.6,2,14,842.5,0
P01,19,Female,Light,1034.6,29.4,1,15,771.8,1
P01,19,Female,Light,1047.1,34.5,1,16,695.5,1
P01,19,Female,Light,1312.9,32.9,2,17,1081.7,0
P01,19,Female,Light,1390.5,33.3,1,18,1207.2,0
P01,19,Female,Light,1001.3,37.0,2,19,858.4,1
P01,19,Female,Light,1062.4,37.5,1,20,795.1,1
P01,19,Female,Light,1123.2,35.8,1,21,892.4,1
P01,19,Female,Light,1115.5,39.4,2,22,919.5,0
P01,19,Female,Light,1131.6,37.6,2,23,1051.3,1
P01,19,Female,Light,1138.6,34.9,1,24,898.2,1
P01,19,Female,Light,1219.1,39.1,1,25,998.3,1
P01,19,Female,Noise,517.1,70.3,1,1,606.5,1
P01,19,Female,Noise,482.1,66.5,2,2,674.3,1
P01,19,Female,Noise,486.1,75.4,2,3,698.3,1
P01,19,Female,Noise,491.8,66.1,1,4,523.0,1
P01,19,Female,Noise,549.1,60.3,2,5,643.7,1
P01,19,Female,Noise,437.9,66.3,1,6,696.0,0
P01,19,Female,Noise,549.3,73.9,1,7,746.3,1
P01,19,Female,Noise,513.1,66.5,2,8,687.1,1
P01,19,Female,Noise,519.6,62.1,2,9,658.3,1
P01,19,Female,Noise,510.0,77.1,2,10,761.8,0
P01,19,Female,Noise,477.3,62.1,1,11,693.3,1
P01,19,Female,Noise,452.0,62.9,2,12,676.8,1
P01,19,Female,Noise,453.2,69.6,1,13,672.2,1
P01,19,Female,Noise,492.2,68.4,2,14,716.1,1
P01,19,Female,Noise,397.5,65.0,2,15,603.7,1
P01,19,Female,Noise,494.7,72.2,1,16,616.7,1
P01,19,Female,Noise,522.7,69.2,2,17,713.2,1
P01,19,Female,Noise,474.1,67.2,2,18,713.4,0
P01,19,Female,Noise,437.7,67.4,1,19,595.1,0
P01,19,Female,Noise,488.1,72.2,2,20,711.2,0
P01,19,Female,Noise,514.3,72.2,1,21,779.2,1
P01,19,Female,Noise,399.9,76.0,1,22,647.8,1
P01,19,Female,Noise,532.4,60.0,1,23,522.2,1
P01,19,Female,Noise,497.6,70.6,1,24,662.4,1
P01,19,Female,Noise,387.6,68.3,2,25,735.0,1
P01,19,Female,Both,1113.8,71.8,1,1,976.6,1
P01,19,Female,Both,1029.5,67.1,2,2,976.2,0
P01,19,Female,Both,1152.1,66.7,2,3,1039.6,1
P01,19,Female,Both,900.7,61.5,2,4,688.5,1
P01,19,Female,Both,1174.9,66.6,1,5,1022.0,0
P01,19,Female,Both,1232.8,67.7,1,6,1075.2,0
P01,19,Female,Both,1109.2,63.8,1,7,902.4,0
P01,19,Female,Both,1011.2,66.2,1,8,950.9,1
P01,19,Female,Both,1139.3,62.8,2,9,1048.9,0
P01,19,Female,Both,916.9,72.6,1,10,780.6,0
P01,19,Female,Both,1034.6,70.1,1,11,881.0,1
P01,19,Female,Both,1136.2,74.6,2,12,981.5,0
P01,19,Female,Both,1066.9,73.6,1,13,954.1,1
P01,19,Female,Both,1134.9,77.8,1,14,1017.5,1
P01,19,Female,Both,1207.6,63.8,1,15,1061.8,1
P01,19,Female,Both,1131.4,63.8,2,16,908.6,1
P01,19,Female,Both,1054.1,66.5,1,17,1005.9,1
P01,19,Female,Both,1003.8,69.7,2,18,913.0,1
P01,19,Female,Both,1161.9,66.3,2,19,1123.1,1
P01,19,Female,Both,1100.6,81.0,2,20,1133.6,0
P01,19,Female,Both,1158.1,67.7,2,21,1057.4,0
P01,19,Female,Both,1143.0,63.7,1,22,1011.4,1
P01,19,Female,Both,1208.5,69.8,1,23,1054.7,1
P01,19,Female,Both,1069.1,72.7,1,24,920.1,0
P01,19,Female,Both,950.5,74.8,2,25,959.1,1
P02,27,Female,Baseline,419.9,26.1,2,1,698.4,1
P02,27,Female,Baseline,457.6,39.9,2,2,476.4,1
P02,27,Female,Baseline,484.0,37.7,2,3,580.6,1
P02,27,Female,Baseline,452.5,41.6,1,4,593.4,1
P02,27,Female,Baseline,444.5,43.3,2,5,642.3,1
P02,27,Female,Baseline,538.2,38.5,1,6,518.6,1
P02,27,Female,Baseline,465.5,34.2,1,7,529.6,1
P02,27,Female,Baseline,505.5,35.8,2,8,627.5,1
P02,27,Female,Baseline,448.5,31.3,2,9,580.7,1
P02,27,Female,Baseline,469.9,37.4,2,10,577.5,1
P02,27,Female,Baseline,508.3,40.7,2,11,596.9,1
P02,27,Female,Baseline,561.4,37.7,2,12,552.9,1
P02,27,Female,Baseline,438.7,33.0,2,13,542.1,1
P02,27,Female,Baseline,477.2,39.3,1,14,511.2,1
P02,27,Female,Baseline,516.0,41.0,1,15,472.9,1
P02,27,Female,Baseline,487.5,32.2,1,16,505.6,1
P02,27,Female,Baseline,444.0,38.8,2,17,645.8,1
P02,27,Female,Baseline,469.9,39.5,2,18,438.6,0
P02,27,Female,Baseline,468.2,33.7,1,19,621.6,1
P02,27,Female,Baseline,446.5,38.9,1,20,602.5,0
P02,27,Female,Baseline,490.0,45.3,2,21,550.0,1
P02,27,Female,Baseline,428.8,36.3,2,22,548.2,0
P02,27,Female,Baseline,489.7,30.9,1,23,481.7,1
P02,27,Female,Baseline,454.9,35.5,1,24,545.4,1
P02,27,Female,Baseline,497.9,31.3,2,25,517.7,1
P02,27,Female,Light,957.6,39.8,1,1,623.4,1
P02,27,Female,Light,1171.4,39.0,2,2,1001.2,0
P02,27,Female,Light,1103.2,39.1,1,3,758.4,1
P02,27,Female,Light,1046.7,36.4,2,4,743.8,0
P02,27,Female,Light,1261.1,48.2,2,5,1014.9,1
P02,27,Female,Light,1069.0,36.9,2,6,760.9,1
P02,27,Female,Light,1152.5,32.0,2,7,942.8,0
P02,27,Female,Light,1117.2,36.7,2,8,903.0,0
P02,27,Female,Light,972.9,31.1,1,9,693.0,0
P02,27,Female,Light,1284.8,37.3,1,10,937.6,1
P02,27,Female,Light,1131.9,34.5,1,11,835.4,1
P02,27,Female,Light,1067.6,31.2,2,12,774.9,1
P02,27,Female,Light,1091.8,31.2,2,13,758.8,0
P02,27,Female,Light,1047.7,27.7,1,14,763.0,1
P02,27,Female,Light,968.3,41.3,2,15,763.3,0
P02,27,Female,Light,1138.5,39.7,1,16,826.2,1
P02,27,Female,Light,1162.5,43.0,2,17,892.3,0
P02,27,Female,Light,1049.9,36.3,1,18,795.8,1
P02,27,Female,Light,1054.1,36.3,1,19,773.9,1
P02,27,Female,Light,1195.2,29.0,2,20,915.2,1
P02,27,Female,Light,1003.6,34.3,1,21,704.0,1
P02,27,Female,Light,1075.5,33.9,2,22,895.4,1
P02,27,Female,Light,1008.9,40.2,1,23,708.4,1
P02,27,Female,Light,1098.6,40.8,1,24,800.0,1
P02,27,Female,Light,978.4,31.7,2,25,795.4,0
P02,27,Female,Noise,439.1,67.5,1,1,456.5,1
P02,27,Female,Noise,443.1,75.3,1,2,625.0,0
P02,27,Female,Noise,434.4,62.4,2,3,628.9,1
P02,27,Female,Noise,472.5,69.4,2,4,656.7,1
P02,27,Female,Noise,512.3,59.9,2,5,670.0,1
P02,27,Female,Noise,439.2,58.7,2,6,619.6,0
P02,27,Female,Noise,551.9,70.6,2,7,606.4,1
P02,27,Female,Noise,468.0,62.9,2,8,740.6,0
P02,27,Female,Noise,525.4,63.4,1,9,605.1,1
P02,27,Female,Noise,530.0,71.2,1,10,638.6,1
P02,27,Female,Noise,493.6,59.1,1,11,524.9,1
P02,27,Female,Noise,547.3,76.6,1,12,694.1,0
P02,27,Female,Noise,534.0,68.1,2,13,588.9,1
P02,27,Female,Noise,482.4,61.5,1,14,563.1,1
P02,27,Female,Noise,551.9,72.5,1,15,620.6,0
P02,27,Female,Noise,471.9,62.6,1,16,563.1,1
P02,27,Female,Noise,430.0,70.6,1,17,504.9,1
P02,27,Female,Noise,519.8,73.3,2,18,726.2,1
P02,27,Female,Noise,446.2,62.6,2,19,655.7,1
P02,27,Female,Noise,524.0,67.3,1,20,521.8,1
P02,27,Female,Noise,488.7,67.0,1,21,603.2,1
P02,27,Female,Noise,454.9,69.6,2,22,638.3,1
P02,27,Female,Noise,490.9,62.3,1,23,653.1,0
P02,27,Female,Noise,492.7,62.2,1,24,457.8,1
P02,27,Female,Noise,481.2,68.2,1,25,662.7,1
P02,27,Female,Both,1139.6,75.8,2,1,958.3,0
P02,27,Female,Both,1024.7,63.5,2,2,949.4,0
P02,27,Female,Both,1066.4,77.5,1,3,898.8,1
P02,27,Female,Both,1090.7,68.7,2,4,1123.7,1
P02,27,Female,Both,1029.3,72.8,1,5,829.3,1
P02,27,Female,Both,1190.9,68.2,1,6,991.8,1
P02,27,Female,Both,1142.5,58.3,1,7,942.3,1
P02,27,Female,Both,955.8,67.7,2,8,796.9,1
P02,27,Female,Both,965.8,66.0,2,9,804.8,1
P02,27,Female,Both,1127.9,63.0,1,10,912.3,1
P02,27,Female,Both,904.1,67.9,2,11,790.0,0
P02,27,Female,Both,1097.2,69.1,1,12,840.4,0
P02,27,Female,Both,990.7,69.4,2,13,939.0,1
P02,27,Female,Both,849.8,59.5,2,14,710.9,1
P02,27,Female,Both,1103.9,66.4,2,15,1018.1,1
P02,27,Female,Both,1013.8,70.4,2,16,915.7,0
P02,27,Female,Both,1085.3,75.9,1,17,882.9,1
P02,27,Female,Both,1077.5,61.6,1,18,801.1,1
P02,27,Female,Both,1139.7,70.8,1,19,919.4,0
P02,27,Female,Both,1215.8,75.2,2,20,1187.1,1
P02,27,Female,Both,1068.2,63.7,2,21,927.4,0
P02,27,Female,Both,1083.4,77.4,1,22,946.3,1
P02,27,Female,Both,1107.6,68.0,2,23,999.0,1
P02,27,Female,Both,1264.7,69.5,1,24,1029.5,1
P02,27,Female,Both,1194.0,72.3,2,25,1092.2,1
P03,25,Male,Baseline,499.6,42.8,2,1,541.6,1
P03,25,Male,Baseline,362.8,39.5,1,2,316.1,1
P03,25,Male,Baseline,498.1,39.9,2,3,523.2,1
P03,25,Male,Baseline,460.6,47.0,1,4,511.0,1
P03,25,Male,Baseline,544.7,38.5,2,5,559.1,1
P03,25,Male,Baseline,425.4,37.0,1,6,467.8,1
P03,25,Male,Baseline,481.4,36.9,2,7,577.3,0
P03,25,Male,Baseline,440.0,33.8,2,8,629.0,1
P03,25,Male,Baseline,423.3,39.8,2,9,486.4,1
P03,25,Male,Baseline,509.4,39.5,2,10,601.4,1
P03,25,Male,Baseline,493.2,36.8,2,11,615.0,0
P03,25,Male,Baseline,551.8,43.3,2,12,563.8,1
P03,25,Male,Baseline,510.7,38.5,2,13,613.7,1
P03,25,Male,Baseline,450.8,36.3,2,14,605.7,1
P03,25,Male,Baseline,493.6,40.7,1,15,551.2,1
P03,25,Male,Baseline,430.6,43.8,2,16,546.4,0
P03,25,Male,Baseline,438.2,33.9,1,17,498.7,1
P03,25,Male,Baseline,504.8,39.4,1,18,528.7,1
P03,25,Male,Baseline,504.6,29.6,2,19,452.0,1
P03,25,Male,Baseline,479.8,42.2,2,20,638.2,1
P03,25,Male,Baseline,460.0,39.9,2,21,574.3,1
P03,25,Male,Baseline,457.7,41.2,1,22,552.4,1
P03,25,Male,Baseline,519.0,40.8,1,23,472.7,1
P03,25,Male,Baseline,458.5,40.2,2,24,523.7,0
P03,25,Male,Baseline,430.3,37.2,1,25,653.9,1
P03,25,Male,Light,1247.2,38.6,2,1,1030.4,1
P03,25,Male,Light,1144.5,37.4,1,2,808.9,0
P03,25,Male,Light,1035.6,37.8,1,3,672.8,0
P03,25,Male,Light,1244.5,37.7,2,4,945.1,1
P03,25,Male,Light,940.7,34.3,2,5,731.4,1
P03,25,Male,Light,1380.9,35.7,1,6,1138.4,1
P03,25,Male,Light,1143.3,38.2,2,7,901.8,1
P03,25,Male,Light,960.2,31.8,2,8,719.5,1
P03,25,Male,Light,1100.9,41.2,1,9,804.7,0
P03,25,Male,Light,1222.6,44.3,2,10,1037.8,1
P03,25,Male,Light,1213.0,40.5,2,11,1006.7,1
P03,25,Male,Light,990.3,40.8,2,12,716.3,1
P03,25,Male,Light,1184.0,43.9,2,13,927.7,1
P03,25,Male,Light,1076.0,38.4,2,14,896.7,1
P03,25,Male,Light,1135.2,34.0,2,15,917.1,1
P03,25,Male,Light,1025.0,37.1,1,16,715.8,0
P03,25,Male,Light,1090.2,37.0,1,17,674.0,0
P03,25,Male,Light,1073.7,35.3,1,18,765.6,1
P03,25,Male,Light,1106.2,38.1,1,19,801.0,1
P03,25,Male,Light,1271.9,28.7,1,20,959.3,0
P03,25,Male,Light,1169.0,39.9,1,21,850.1,1
P03,25,Male,Light,1203.0,38.7,2,22,984.1,1
P03,25,Male,Light,1169.8,38.4,2,23,933.3,0
P03,25,Male,Light,854.9,32.3,2,24,655.7,1
P03,25,Male,Light,949.3,34.1,1,25,629.7,0
P03,25,Male,Noise,552.1,65.9,2,1,573.4,1
P03,25,Male,Noise,475.3,63.0,1,2,560.6,1
P03,25,Male,Noise,449.5,68.7,2,3,670.4,1
P03,25,Male,Noise,514.2,64.0,1,4,604.4,1
P03,25,Male,Noise,424.9,66.4,2,5,676.7,0
P03,25,Male,Noise,541.3,73.0,2,6,649.5,1
P03,25,Male,Noise,557.4,77.8,1,7,571.2,1
P03,25,Male,Noise,437.7,61.4,1,8,539.1,1
P03,25,Male,Noise,475.9,64.7,1,9,536.3,1
P03,25,Male,Noise,571.3,69.5,1,10,645.1,1
P03,25,Male,Noise,472.6,64.4,2,11,560.0,1
P03,25,Male,Noise,390.0,62.0,1,12,649.9,1
P03,25,Male,Noise,531.6,70.1,1,13,547.3,1
P03,25,Male,Noise,509.1,65.1,2,14,670.2,1
P03,25,Male,Noise,458.0,62.4,1,15,576.6,1
P03,25,Male,Noise,448.3,68.1,1,16,624.6,1
P03,25,Male,Noise,542.1,74.4,1,17,707.6,1
P03,25,Male,Noise,521.8,68.3,2,18,630.7,0
P03,25,Male,Noise,473.1,60.2,1,19,649.1,1
P03,25,Male,Noise,492.1,64.4,1,20,545.8,1
P03,25,Male,Noise,478.5,76.7,1,21,679.4,1
P03,25,Male,Noise,511.8,65.8,1,22,583.8,1
P03,25,Male,Noise,446.6,71.3,1,23,641.3,1
P03,25,Male,Noise,538.0,66.1,2,24,670.5,1
P03,25,Male,Noise,480.9,65.0,2,25,665.8,1
P03,25,Male,Both,1219.4,57.1,2,1,931.9,1
P03,25,Male,Both,1106.0,69.3,2,2,964.2,1
P03,25,Male,Both,1182.4,68.8,1,3,959.2,0
P03,25,Male,Both,887.1,69.3,1,4,646.1,0
P03,25,Male,Both,984.3,63.2,2,5,842.7,1
P03,25,Male,Both,845.4,71.1,2,6,762.0,0
P03,25,Male,Both,1000.4,74.2,1,7,679.3,1
P03,25,Male,Both,982.0,72.0,1,8,833.0,1
P03,25,Male,Both,1283.6,67.0,2,9,1179.8,1
P03,25,Male,Both,1219.0,64.2,2,10,1071.1,1
P03,25,Male,Both,1122.9,72.8,2,11,1016.1,1
P03,25,Male,Both,1087.6,71.7,1,12,843.3,0
P03,25,Male,Both,1127.0,70.1,1,13,1037.8,1
P03,25,Male,Both,1165.8,81.6,2,14,1032.6,1
P03,25,Male,Both,1143.9,65.4,2,15,940.7,0
P03,25,Male,Both,1132.7,64.3,2,16,977.0,1
P03,25,Male,Both,1156.2,61.5,1,17,957.5,0
P03,25,Male,Both,1146.6,66.1,1,18,922.2,1
P03,25,Male,Both,1062.2,72.6,2,19,851.0,1
P03,25,Male,Both,1062.0,69.9,1,20,950.4,0
P03,25,Male,Both,1196.0,60.4,2,21,1085.2,0
P03,25,Male,Both,939.5,67.9,2,22,863.9,1
P03,25,Male,Both,1129.1,75.4,2,23,1089.7,1
P03,25,Male,Both,1068.3,67.2,1,24,881.1,1
P03,25,Male,Both,991.3,69.7,1,25,769.7,0
P04,23,Male,Baseline,539.1,35.8,1,1,487.9,0
P04,23,Male,Baseline,504.1,37.3,1,2,621.9,0
P04,23,Male,Baseline,527.3,36.7,1,3,564.4,1
P04,23,Male,Baseline,507.8,39.0,1,4,627.3,1
P04,23,Male,Baseline,500.5,36.3,2,5,565.8,0
P04,23,Male,Baseline,534.7,34.6,2,6,776.2,1
P04,23,Male,Baseline,518.8,38.1,1,7,582.0,1
P04,23,Male,Baseline,536.0,38.7,2,8,604.7,1
P04,23,Male,Baseline,516.8,40.6,2,9,639.8,1
P04,23,Male,Baseline,445.3,31.5,1,10,610.5,1
P04,23,Male,Baseline,462.4,26.2,1,11,658.4,1
P04,23,Male,Baseline,494.4,32.4,1,12,675.4,1
P04,23,Male,Baseline,491.6,47.3,1,13,588.1,1
P04,23,Male,Baseline,467.0,40.0,1,14,592.5,1
P04,23,Male,Baseline,538.7,37.5,1,15,604.2,1
P04,23,Male,Baseline,494.3,41.9,2,16,618.8,1
P04,23,Male,Baseline,498.4,42.0,1,17,528.5,1
P04,23,Male,Baseline,422.9,30.9,2,18,670.6,1
P04,23,Male,Baseline,479.5,29.0,1,19,591.8,1
P04,23,Male,Baseline,421.7,36.4,2,20,759.8,1
P04,23,Male,Baseline,502.5,38.5,2,21,704.4,1
P04,23,Male,Baseline,515.1,32.5,2,22,680.5,1
P04,23,Male,Baseline,455.3,37.9,2,23,605.5,1
P04,23,Male,Baseline,435.8,39.3,2,24,603.5,1
P04,23,Male,Baseline,432.7,35.7,1,25,680.5,1
P04,23,Male,Light,1078.8,40.0,1,1,741.8,1
P04,23,Male,Light,1299.8,38.5,1,2,1132.1,1
P04,23,Male,Light,900.3,31.3,1,3,730.6,0
P04,23,Male,Light,1231.2,36.7,1,4,949.4,1
P04,23,Male,Light,1076.6,37.2,2,5,894.7,1
P04,23,Male,Light,1219.9,37.3,2,6,1101.1,1
P04,23,Male,Light,1130.9,41.9,1,7,847.6,1
P04,23,Male,Light,1004.1,41.0,1,8,745.9,0
P04,23,Male,Light,1073.9,41.4,2,9,931.0,1
P04,23,Male,Light,1236.4,37.1,1,10,984.7,1
P04,23,Male,Light,1139.6,31.7,1,11,883.0,0
P04,23,Male,Light,1063.5,32.5,1,12,810.1,1
P04,23,Male,Light,1180.9,37.4,2,13,1006.2,1
P04,23,Male,Light,1018.3,33.4,1,14,777.5,0
P04,23,Male,Light,1116.2,40.9,1,15,814.5,1
P04,23,Male,Light,1078.0,39.4,2,16,846.0,1
P04,23,Male,Light,1102.9,42.1,1,17,768.3,1
P04,23,Male,Light,1219.0,37.4,2,18,1034.7,1
P04,23,Male,Light,937.9,28.6,2,19,865.7,1
P04,23,Male,Light,1054.4,32.5,2,20,897.4,1
P04,23,Male,Light,1137.8,39.8,2,21,1004.7,0
P04,23,Male,Light,1257.8,33.7,1,22,1123.9,1
P04,23,Male,Light,957.8,36.8,2,23,905.2,1
P04,23,Male,Light,1119.5,37.1,2,24,986.3,1
P04,23,Male,Light,1095.7,38.3,2,25,910.7,1
P04,23,Male,Noise,596.6,59.1,2,1,664.7,1
P04,23,Male,Noise,481.9,71.8,1,2,749.0,0
P04,23,Male,Noise,525.3,56.3,1,3,651.5,0
P04,23,Male,Noise,431.2,63.8,1,4,669.2,1
P04,23,Male,Noise,491.3,73.4,1,5,745.1,0
P04,23,Male,Noise,471.8,60.6,2,6,735.7,1
P04,23,Male,Noise,461.6,71.2,2,7,749.2,1
P04,23,Male,Noise,526.8,67.1,1,8,633.6,0
P04,23,Male,Noise,530.9,70.7,1,9,672.1,1
P04,23,Male,Noise,495.5,59.2,2,10,746.1,0
P04,23,Male,Noise,575.5,62.5,1,11,760.3,0
P04,23,Male,Noise,452.2,69.1,2,12,742.6,1
P04,23,Male,Noise,452.1,67.6,2,13,745.0,1
P04,23,Male,Noise,470.9,59.9,2,14,764.7,1
P04,23,Male,Noise,451.0,66.6,1,15,619.2,1
P04,23,Male,Noise,529.1,64.8,1,16,703.8,0
P04,23,Male,Noise,489.9,67.3,1,17,647.9,1
P04,23,Male,Noise,473.8,61.1,2,18,687.4,1
P04,23,Male,Noise,496.4,65.7,2,19,637.2,1
P04,23,Male,Noise,434.9,65.5,1,20,684.1,1
P04,23,Male,Noise,489.5,77.5,1,21,729.8,1
P04,23,Male,Noise,473.4,65.1,1,22,548.0,1
P04,23,Male,Noise,475.5,62.9,1,23,634.0,1
P04,23,Male,Noise,504.3,61.3,2,24,778.1,1
P04,23,Male,Noise,453.5,77.6,1,25,725.3,0
P04,23,Male,Both,1047.1,68.4,1,1,937.9,0
P04,23,Male,Both,1096.9,66.9,2,2,1008.6,1
P04,23,Male,Both,963.2,67.1,2,3,879.6,1
P04,23,Male,Both,1061.1,75.4,2,4,962.5,1
P04,23,Male,Both,1022.5,65.1,2,5,983.1,1
P04,23,Male,Both,1189.3,64.1,2,6,1088.6,1
P04,23,Male,Both,1209.9,71.1,2,7,1267.0,1
P04,23,Male,Both,996.9,68.4,1,8,855.3,1
P04,23,Male,Both,994.3,62.7,2,9,929.0,1
P04,23,Male,Both,1184.2,63.4,2,10,1094.2,0
P04,23,Male,Both,970.5,76.5,2,11,1029.6,0
P04,23,Male,Both,965.3,69.1,2,12,1019.1,1
P04,23,Male,Both,1109.5,55.8,2,13,962.8,1
P04,23,Male,Both,1221.3,73.5,2,14,1215.1,1
P04,23,Male,Both,934.2,68.0,1,15,869.3,1
P04,23,Male,Both,914.8,66.4,1,16,827.9,0
P04,23,Male,Both,1055.7,67.8,2,17,1035.4,1
P04,23,Male,Both,1059.0,68.5,1,18,983.2,1
P04,23,Male,Both,1104.0,72.8,1,19,907.2,1
P04,23,Male,Both,1127.4,68.0,2,20,1055.9,0
P04,23,Male,Both,1193.3,70.4,1,21,1085.8,0
P04,23,Male,Both,1176.9,74.1,1,22,1047.3,1
P04,23,Male,Both,1186.1,75.8,2,23,1124.0,0
P04,23,Male,Both,1174.7,68.3,1,24,1096.9,1
P04,23,Male,Both,1108.8,69.1,1,25,995.7,0
P05,23,Male,Baseline,444.0,35.7,2,1,706.0,0
P05,23,Male,Baseline,427.6,29.8,1,2,601.8,1
P05,23,Male,Baseline,464.6,40.6,1,3,610.1,1
P05,23,Male,Baseline,506.9,39.9,1,4,559.0,1
P05,23,Male,Baseline,521.7,39.6,2,5,694.0,1
P05,23,Male,Baseline,536.5,42.1,2,6,675.2,1
P05,23,Male,Baseline,471.6,40.7,1,7,612.4,1
P05,23,Male,Baseline,457.5,35.5,2,8,595.1,0
P05,23,Male,Baseline,406.9,40.9,2,9,745.3,1
P05,23,Male,Baseline,509.0,43.7,1,10,575.5,1
P05,23,Male,Baseline,399.7,39.1,1,11,620.2,1
P05,23,Male,Baseline,501.7,42.1,2,12,618.7,1
P05,23,Male,Baseline,393.8,36.9,2,13,586.1,1
P05,23,Male,Baseline,462.0,33.7,1,14,573.6,1
P05,23,Male,Baseline,504.1,37.5,1,15,539.8,1
P05,23,Male,Baseline,485.9,36.1,2,16,688.3,0
P05,23,Male,Baseline,500.4,40.2,1,17,670.3,1
P05,23,Male,Baseline,455.4,42.1,2,18,649.5,1
P05,23,Male,Baseline,436.3,42.1,1,19,671.3,1
P05,23,Male,Baseline,432.3,35.7,2,20,614.3,1
P05,23,Male,Baseline,509.3,31.1,2,21,619.8,1
P05,23,Male,Baseline,426.0,44.4,1,22,610.3,1
P05,23,Male,Baseline,452.9,34.8,1,23,615.4,1
P05,23,Male,Baseline,392.8,36.5,2,24,579.0,1
P05,23,Male,Baseline,443.6,34.5,1,25,615.2,1
P05,23,Male,Light,922.4,35.4,1,1,749.7,0
P05,23,Male,Light,1190.8,33.2,1,2,945.3,0
P05,23,Male,Light,1036.0,36.9,2,3,873.2,1
P05,23,Male,Light,1148.5,39.0,1,4,909.8,1
P05,23,Male,Light,1076.4,36.8,1,5,869.2,1
P05,23,Male,Light,966.0,41.1,2,6,843.8,1
P05,23,Male,Light,1148.9,38.7,1,7,904.8,1
P05,23,Male,Light,1074.8,34.9,1,8,874.6,1
P05,23,Male,Light,1019.4,32.6,1,9,837.3,0
P05,23,Male,Light,1123.2,41.9,1,10,932.8,0
P05,23,Male,Light,1090.8,35.9,2,11,1062.3,1
P05,23,Male,Light,1033.4,39.7,2,12,812.2,0
P05,23,Male,Light,1090.6,33.6,1,13,946.8,1
P05,23,Male,Light,973.5,45.1,1,14,782.2,0
P05,23,Male,Light,1115.9,37.9,1,15,870.8,1
P05,23,Male,Light,1147.7,38.1,2,16,1006.9,1
P05,23,Male,Light,966.7,32.1,2,17,870.1,0
P05,23,Male,Light,1120.5,36.1,2,18,946.3,1
P05,23,Male,Light,1060.3,38.5,2,19,957.7,1
P05,23,Male,Light,1199.7,34.0,1,20,1049.0,1
P05,23,Male,Light,1291.6,34.9,1,21,1032.7,0
P05,23,Male,Light,1166.0,40.0,1,22,900.9,1
P05,23,Male,Light,977.5,42.6,2,23,1008.0,1
P05,23,Male,Light,1105.4,40.3,2,24,862.6,1
P05,23,Male,Light,990.7,32.2,2,25,957.0,1
P05,23,Male,Noise,495.2,66.5,2,1,783.4,1
P05,23,Male,Noise,501.2,67.0,1,2,654.0,1
P05,23,Male,Noise,400.9,66.7,2,3,708.6,1
P05,23,Male,Noise,478.6,68.3,1,4,560.2,1
P05,23,Male,Noise,496.3,69.9,1,5,693.6,0
P05,23,Male,Noise,511.1,67.5,1,6,651.4,1
P05,23,Male,Noise,498.7,69.0,2,7,750.0,1
P05,23,Male,Noise,483.8,71.9,2,8,801.7,0
